SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
彰化,彰化縣,26,,良好,1.9,0.17,0.2,26,28,6,4,4.5,5.5,1,4.1,193,2020-08-26 16:00,5,8,3,120.541519,24.066,33
西屯,臺中市,,,設備維護,,,0.2,,,12,,,,,5,185,2020-08-26 16:00,,12,2,120.616917,24.162197,32
忠明,臺中市,36,,良好,,,0.2,,39,10,ND,,,,2.9,163,2020-08-26 16:00,7,10,2,120.641092,24.151958,31
大里,臺中市,31,,良好,3.3,0.23,0.3,26,27,18,6,9,12,2.9,1.8,238,2020-08-26 16:00,10,18,3,120.677689,24.099611,30
沙鹿,臺中市,31,,良好,1.6,0.16,0.2,32,33,11,ND,4.6,7.4,2.8,5.2,179,2020-08-26 16:00,4,17,2,120.568794,24.225628,29
豐原,臺中市,32,,良好,1.6,0.15,0.2,34,35,11,7,4.2,5.7,1.5,5,194,2020-08-26 16:00,9,19,2,120.741711,24.256586,28
三義,苗栗縣,31,,良好,0.9,0.17,0.2,33,34,,6,2.7,4.2,1.5,6.3,187,2020-08-26 16:00,7,13,1,120.758833,24.382942,27
苗栗,苗栗縣,32,,良好,1.2,0.18,0.2,34,35,15,9,5.6,6.8,1.3,5,197,2020-08-26 16:00,9,18,2,120.8202,24.565269,26
頭份,苗栗縣,35,,良好,2.4,0.12,0.1,36,38,14,7,5.8,7.3,1.5,4.6,216,2020-08-26 16:00,8,17,3,120.898572,24.696969,25
新竹,新竹市,40,,良好,0.3,0.23,0.2,40,43,16,11,6.1,7.7,1.6,2.5,224,2020-08-26 16:00,10,20,1,120.972075,24.805619,24
竹東,新竹縣,36,,良好,0.8,0.12,0.1,35,39,11,5,0.7,1.9,1.2,3.7,203,2020-08-26 16:00,7,17,1,121.088903,24.740644,23
湖口,新竹縣,42,,良好,1.6,0.18,0.2,44,45,13,7,5.3,6.8,1.5,5,220,2020-08-26 16:00,8,26,2,121.038653,24.900142,22
龍潭,桃園市,40,,良好,1,0.15,0.2,42,43,10,5,4,5.5,1.5,5.6,218,2020-08-26 16:00,8,15,2,121.21635,24.863869,21
平鎮,桃園市,38,,良好,1.7,0.15,0.2,41,41,27,9,8.5,11,2.5,3.1,235,2020-08-26 16:00,11,39,2,121.203986,24.952786,20
