siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
68,中壢,桃園市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,2.34
68,中壢,桃園市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,25.3
68,中壢,桃園市,6,一氧化氮,NO,ppb,2022-09-24 12:00,8.8
68,中壢,桃園市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,34.1
68,中壢,桃園市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,32
68,中壢,桃園市,3,臭氧,O3,ppb,2022-09-24 12:00,25.3
68,中壢,桃園市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.62
68,中壢,桃園市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,1.2
67,三重,新北市,38,相對濕度,RH,%,2022-09-24 12:00,77
67,三重,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,15
67,三重,新北市,31,甲烷,CH4,ppm,2022-09-24 12:00,2.13
67,三重,新北市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0
67,三重,新北市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,26
67,三重,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0.42
67,三重,新北市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,2.54
67,三重,新北市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,36.3
67,三重,新北市,6,一氧化氮,NO,ppb,2022-09-24 12:00,32.6
67,三重,新北市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,68.9
67,三重,新北市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,35
67,三重,新北市,3,臭氧,O3,ppb,2022-09-24 12:00,18.3
67,三重,新北市,2,一氧化碳,CO,ppm,2022-09-24 12:00,1.44
67,三重,新北市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,0.9
64,陽明,臺北市,38,相對濕度,RH,%,2022-09-24 12:00,99
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,2
64,陽明,臺北市,32,降雨強度,RAIN_INT,㎜,2022-09-24 12:00,5.5
64,陽明,臺北市,23,雨量,RAINFALL,mm,2022-09-24 12:00,6
64,陽明,臺北市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,18.4
64,陽明,臺北市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,1
64,陽明,臺北市,6,一氧化氮,NO,ppb,2022-09-24 12:00,0.1
64,陽明,臺北市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,1.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,9
64,陽明,臺北市,3,臭氧,O3,ppb,2022-09-24 12:00,52.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.17
64,陽明,臺北市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,0.3
58,小港,高雄市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,261
58,小港,高雄市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,2.8
58,小港,高雄市,38,相對濕度,RH,%,2022-09-24 12:00,61
58,小港,高雄市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,20
58,小港,高雄市,31,甲烷,CH4,ppm,2022-09-24 12:00,1.93
58,小港,高雄市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0
58,小港,高雄市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,31.2
58,小港,高雄市,11,風向,WIND_DIREC,degrees,2022-09-24 12:00,260
58,小港,高雄市,10,風速,WIND_SPEED,m/sec,2022-09-24 12:00,3.2
58,小港,高雄市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0
58,小港,高雄市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,1.91
58,小港,高雄市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,6.7
58,小港,高雄市,6,一氧化氮,NO,ppb,2022-09-24 12:00,0.9
58,小港,高雄市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,7.7
58,小港,高雄市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,39
58,小港,高雄市,3,臭氧,O3,ppb,2022-09-24 12:00,70
58,小港,高雄市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.19
58,小港,高雄市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,2.3
57,前鎮,高雄市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,209
57,前鎮,高雄市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,0.5
57,前鎮,高雄市,38,相對濕度,RH,%,2022-09-24 12:00,62
57,前鎮,高雄市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,23
57,前鎮,高雄市,31,甲烷,CH4,ppm,2022-09-24 12:00,1.95
57,前鎮,高雄市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0
57,前鎮,高雄市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,31.2
57,前鎮,高雄市,11,風向,WIND_DIREC,degrees,2022-09-24 12:00,183
57,前鎮,高雄市,10,風速,WIND_SPEED,m/sec,2022-09-24 12:00,2
57,前鎮,高雄市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0
57,前鎮,高雄市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,1.95
57,前鎮,高雄市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,8.6
57,前鎮,高雄市,6,一氧化氮,NO,ppb,2022-09-24 12:00,1.3
57,前鎮,高雄市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,9.9
57,前鎮,高雄市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,52
57,前鎮,高雄市,3,臭氧,O3,ppb,2022-09-24 12:00,76
57,前鎮,高雄市,2,一氧化碳,CO,ppm,2022-09-24 12:00,0.25
57,前鎮,高雄市,1,二氧化硫,SO2,ppb,2022-09-24 12:00,1.4
56,前金,高雄市,144,小時風向值,WD_HR,degrees,2022-09-24 12:00,247
56,前金,高雄市,143,小時風速值,WS_HR,m/sec,2022-09-24 12:00,2.8
56,前金,高雄市,38,相對濕度,RH,%,2022-09-24 12:00,65
56,前金,高雄市,33,細懸浮微粒,PM2.5,μg/m3,2022-09-24 12:00,27
56,前金,高雄市,31,甲烷,CH4,ppm,2022-09-24 12:00,1.98
56,前金,高雄市,23,雨量,RAINFALL,mm,2022-09-24 12:00,0
56,前金,高雄市,14,溫度,AMB_TEMP,℃,2022-09-24 12:00,30.6
56,前金,高雄市,11,風向,WIND_DIREC,degrees,2022-09-24 12:00,280
56,前金,高雄市,10,風速,WIND_SPEED,m/sec,2022-09-24 12:00,3.4
56,前金,高雄市,9,非甲烷碳氫化合物,NMHC,ppm,2022-09-24 12:00,0
56,前金,高雄市,8,總碳氫化物,THC,ppm,2022-09-24 12:00,1.98
56,前金,高雄市,7,二氧化氮,NO2,ppb,2022-09-24 12:00,4.2
56,前金,高雄市,6,一氧化氮,NO,ppb,2022-09-24 12:00,0.6
56,前金,高雄市,5,氮氧化物,NOx,ppb,2022-09-24 12:00,4.9
56,前金,高雄市,4,懸浮微粒,PM10,μg/m3,2022-09-24 12:00,48
