sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101140,YouBike2.0_仁愛國中,25,0,大安區,2023-05-08 20:44:14,25.03706,121.55166,安和路一段75號(對面),Daan Dist.,YouBike2.0_Ren Ai Junior High School,No. 75， Sec. 1， Anhe Rd.,25,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500101150,YouBike2.0_捷運忠孝新生站(4號出口),34,0,大安區,2023-05-08 20:45:15,25.04239,121.53324,忠孝新生路口北側,Daan Dist.,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 4),Zhongxiao & Xinsheng S. Rd Intersection. (North),34,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:15,2023-05-08
500101155,YouBike2.0_捷運大安森林公園站(5號出口),15,0,大安區,2023-05-08 20:44:14,25.03336,121.5364,捷運大安森林公園站(5號出口)東側,Daan Dist.,YouBike2.0_MRT Daan Park Sta. (Exit 5),MRT Daan Park Sta. (Exit 5) (East),15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500101169,YouBike2.0_捷運信義安和站(4號出口),30,0,大安區,2023-05-08 20:45:04,25.03305,121.55378,信義路四段252號前,Daan Dist.,YouBike2.0_MRT Xinyi Anhe Sta.(Exit.4),No. 252， Sec. 4， Sinyi Rd.,30,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:04,2023-05-08
500101171,YouBike2.0_仁愛延吉街口,25,0,大安區,2023-05-08 20:45:15,25.03748,121.55564,仁愛路四段376號前,Daan Dist.,YouBike2.0_Renai & Yanji Intersection,No. 376， Sec. 4， Ren'ai Rd.,25,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:15,2023-05-08
500101173,YouBike2.0_敦化南路二段103巷口,24,0,大安區,2023-05-08 20:03:04,25.0287,121.54904,敦化南路二段99號前,Daan Dist.,YouBike2.0_Ln. 103，Sec. 2，Dunhua S. Rd.,No. 99， Sec. 2， Dunhua S. Rd.,24,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:03:04,2023-05-08
500101184,YouBike2.0_新生南路三段94巷口,15,0,大安區,2023-05-08 20:44:14,25.01744,121.53334,新生南路三段94號前,Daan Dist.,YouBike2.0_Ln. 94， Sec. 3， Xinsheng S. Rd. Intersection,No. 94， Sec. 3， Xinsheng S. Rd.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500101186,YouBike2.0_捷運大安站(6號出口),19,0,大安區,2023-05-08 20:45:15,25.03479,121.54376,復興南路一段303號前,Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 6),No. 303， Sec. 1， Fuxing S. Rd.,19,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:15,2023-05-08
500101191,YouBike2.0_大安運動中心,27,0,大安區,2023-05-08 18:03:04,25.02054,121.54561,辛亥路三段55號前方人行道(大安運動中心),Daan Dist.,YouBike2.0_Taipei Daan Sports Center,No. 55， Sec. 3， Xinhai Rd.,27,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 18:03:04,2023-05-08
500101192,YouBike2.0_和平敦化路口,25,0,大安區,2023-05-08 20:09:04,25.02444,121.54908,和平東路三段 / 敦化南路二段口(東側),Daan Dist.,YouBike2.0_Heping Rd. & Dunhua Rd. Intersection,Sec. 3， Heping E. Rd. & Sec. 2， Dunhua S. Rd. Intersection (East),25,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:09:04,2023-05-08
500101193,YouBike2.0_基隆長興路口,43,0,大安區,2023-05-08 20:37:04,25.01705,121.54435,基隆路/長興街(東南側),Daan Dist.,YouBike2.0_Keelung Rd. & Changxing St. Intersection,Keelung Rd. & Changxing St. Intersection (Southeast),43,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:37:04,2023-05-08
500101194,YouBike2.0_仁愛路四段122巷口,16,0,大安區,2023-05-08 19:53:05,25.03762,121.55009,仁愛路四段118號前,Daan Dist.,YouBike2.0_Ln. 122， Sec. 4， Ren'ai Rd.,No. 188， Sec. 4， Ren'ai Rd.,16,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:53:05,2023-05-08
500101201,YouBike2.0_信義路三段134巷口,19,0,大安區,2023-05-08 20:44:04,25.03333,121.53968,信義路三段/信義路三段134巷口,Daan Dist.,YouBike2.0_Ln. 134， Sec. 3， Xinyi Rd.,Sec. 3， Xinyi Rd. & Ln. 134， Sec. 3， Xinyi Rd. Intersection,19,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:04,2023-05-08
500101202,YouBike2.0_仁愛敦南圓環(東南側),16,0,大安區,2023-05-08 20:43:04,25.03715,121.54936,仁愛路四段110號前,Daan Dist.,YouBike2.0_Renai Dunnan Traffic Cir (Southeast),No. 110， Sec. 4， Ren'ai Rd.,16,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:43:04,2023-05-08
500101204,YouBike2.0_外交部外交及國際事務學院,17,0,大安區,2023-05-08 20:44:14,25.0371,121.54839,敦化南路一段280號,Daan Dist.,YouBike2.0_Institute of Diplomacy and International Affairs,No. 280， Sec. 1， Dunhua S. Rd.,17,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500101205,YouBike2.0_四維路170巷口,22,0,大安區,2023-05-08 20:21:06,25.02821,121.54864,敦化南路二段92號對側中央分隔島,Daan Dist.,YouBike2.0_Ln. 170， Siwei Rd.,No. 92， Sec. 2， Dunhua S. Rd. (Opposite),22,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:21:06,2023-05-08
