sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101114,YouBike2.0_新生和平路口東北側,38,0,大安區,2023-05-08 21:47:04,25.02657,121.53515,新生南路二段與和平東路二段口東北側,Daan Dist.,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast),38,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:47:04,2023-05-08
500101115,YouBike2.0_建國和平路口西北側,44,0,大安區,2023-05-08 21:37:04,25.02606,121.53738,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),44,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:37:04,2023-05-08
500101118,YouBike2.0_金甌女中,12,0,大安區,2023-05-08 21:37:04,25.03519,121.5245,信義路二段與杭州南路二段東南側,Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast),12,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:37:04,2023-05-08
500101122,YouBike2.0_敦化南路二段293巷口南側,14,0,大安區,2023-05-08 20:23:04,25.0237,121.54899,敦化南路二段293巷口南側,Daan Dist.,YouBike2.0_Ln. 293， Sec. 2， Dunhua S. Rd (South),Ln. 293， Sec. 2， Dunhua S. Rd. (South),14,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 20:23:04,2023-05-08
500101130,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,25.03534,121.5354,建國南路一段304巷45號南側,Daan Dist.,YouBike2.0_Minrong Park,No. 45， Ln. 304， Sec. 1， Jianguo S. Rd. (South),15,0,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-04-20 07:22:04,2023-04-20
500101131,YouBike2.0_復興南路1段340巷口,38,0,大安區,2023-05-08 21:27:04,25.03701,121.54348,復興南路一段信義路三段147巷45弄口,Daan Dist.,YouBike2.0_Ln. 340， Sec. 1， Fuxing S. Rd Intersection,Sec. 1， Fuxing S. Rd & Aly. 45， Ln. 147， Sec. 3， Xinyi Rd Intersection.,37,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:27:04,2023-05-08
500101132,YouBike2.0_建國濟南路口,29,0,大安區,2023-05-08 21:21:04,25.03935,121.53828,建國南路一段/濟南路三段口(東南側),Daan Dist.,YouBike2.0_Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection,Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection. (Southeast),29,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:21:04,2023-05-08
500101134,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-08 21:48:13,25.0332,121.5439,信義路4段6號(前),Daan Dist.,YouBike2.0_MRT Da’an Sta (Exit 4),No. 6， Sec. 4， Xinyi Rd.,13,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:48:13,2023-05-08
500101136,YouBike2.0_信義大安路口(信維大樓),12,0,大安區,2023-05-08 21:46:04,25.03317,121.54639,信義路四段74號(前),Daan Dist.,YouBike2.0_Sec. 4， Xinyi Rd & Da’an Rd Intersection (Xinwei Building),No. 74， Sec. 4， Xinyi Rd.,12,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:46:04,2023-05-08
500101137,YouBike2.0_龍門廣場,50,0,大安區,2023-05-08 21:41:04,25.04092,121.54825,敦化南路一段與敦化南路一段236巷口,Daan Dist.,YouBike2.0_Long Men Plaza,Sec. 1， Dunhua S. Rd & Ln. 236， Sec. 1， Dunhua S. Rd Intersection.,50,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:41:04,2023-05-08
