SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺西,雲林縣,15,,良好,1.6,0.1,0.11,,,13,7,1.4,2.7,1.2,3.8,244,2021/07/27 14:00:00,4,15,1,120.19933333,23.702175,41
嘉義,嘉義市,20,,良好,1.6,0.1,0.15,,21,16,6,12.9,14.5,1.5,2.8,237,2021/07/27 14:00:00,5,13,1,120.44083333,23.462778,42
新營,臺南市,27,,良好,0.9,0.12,0.15,44.4,29,14,8,2.3,3.4,1.1,2.8,261,2021/07/27 14:00:00,8,13,0,120.31725,23.305633,43
善化,臺南市,22,,良好,0.7,0.1,0.09,53.1,24,18,10,4.5,6.3,1.8,2.5,289,2021/07/27 14:00:00,5,13,1,120.297142,23.115097,44
安南,臺南市,22,,良好,1.2,0.16,0.28,34.7,24,23,3,3.1,4.4,1.2,3.5,245,2021/07/27 14:00:00,5,17,0,120.2175,23.048197,45
臺南,臺南市,26,,良好,0.3,0.13,0.22,30.3,28,12,3,4.4,5.9,1.5,2.9,269,2021/07/27 14:00:00,5,10,0,120.202617,22.984581,46
美濃,高雄市,18,,良好,,,0.16,,17,,6,,,,1.5,236,2021/07/27 14:00:00,5,10,1,120.530542,22.883583,47
橋頭,高雄市,25,,良好,1.6,0.07,0.14,28.4,23,15,6,1.5,2.4,0.9,3.2,254,2021/07/27 14:00:00,7,14,0,120.305689,22.757506,48
仁武,高雄市,25,,良好,0.5,0.13,0.17,29.8,26,14,4,3.7,5.6,1.8,2.5,307,2021/07/27 14:00:00,7,15,0,120.332631,22.689056,49
鳳山,高雄市,28,,良好,1.3,0.34,0.37,31.4,28,15,9,6.9,9.8,2.9,1,259,2021/07/27 14:00:00,8,15,1,120.358083,22.627392,50
大寮,高雄市,33,,良好,0.5,0.15,0.18,51.4,32,24,8,6.8,8.5,1.7,2.1,300,2021/07/27 14:00:00,10,18,1,120.425311,22.56413611,51
林園,高雄市,43,,良好,,0.14,0.16,43.9,32,,18,,,,2.5,269,2021/07/27 14:00:00,13,39,1,120.41175,22.4795,52
楠梓,高雄市,23,,良好,1.1,0.15,0.17,29.1,25,15,7,3.1,5.7,2.5,2.2,285,2021/07/27 14:00:00,5,15,1,120.328289,22.733667,53
左營,高雄市,28,,良好,1.4,0.09,0.2,27.2,23,13,8,2,2.8,0.8,2.8,280,2021/07/27 14:00:00,8,16,1,120.292917,22.674861,54
前金,高雄市,24,,良好,1.2,0.09,0.19,27.6,26,14,5,1.6,2.3,0.6,3.4,265,2021/07/27 14:00:00,4,16,1,120.288086,22.632567,56
前鎮,高雄市,19,,良好,0.6,0.15,0.28,21.7,21,19,4,6.7,13.8,7.1,1.4,358,2021/07/27 14:00:00,5,19,1,120.307564,22.605386,57
小港,高雄市,28,,良好,2.6,0.04,0.12,22.4,22,29,9,10.2,20.9,10.7,3.7,267,2021/07/27 14:00:00,8,22,2,120.337736,22.565833,58
屏東,屏東縣,33,,良好,2,0.19,0.17,74,36,23,18,5.4,5.7,0.3,2.5,273,2021/07/27 14:00:00,7,13,0,120.488033,22.673081,59
潮州,屏東縣,27,,良好,2.9,0.34,0.2,60.6,29,31,12,7.8,8.5,0.7,2,204,2021/07/27 14:00:00,4,12,0,120.561175,22.523108,60
