出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1110912","11108","2360","致茂","其他電子業","2311564","2056033","1418059","12.42835110136851","63.009014434519294","13701462","11547237","18.65576154711296","主要來自於電動車相關檢測設備銷售增長。"
"1110912","11108","2362","藍天","電腦及週邊設備業","1925210","1714848","2525268","12.26709306014294","-23.762151185537537","14853690","16881287","-12.010914807621006","-"
"1110912","11108","2363","矽統","半導體業","11419","14579","19331","-21.675012003566774","-40.92907764730226","128882","147400","-12.563093622795115","-"
"1110912","11108","2364","倫飛","電腦及週邊設備業","84145","77669","77875","8.337946928633045","8.051364365971107","596718","574152","3.9303181039167328","-"
"1110912","11108","2365","昆盈","電腦及週邊設備業","108515","130910","116718","-17.10717286685509","-7.028050514916294","785228","885200","-11.293718933574333","-"
"1110912","11108","2367","燿華","電子零組件業","1888943","1756020","1027403","7.569560711153631","83.85609152396869","11611966","8430066","37.74466297179642","本期出貨量增加"
"1110912","11108","2368","金像電","電子零組件業","2960443","2667513","2444041","10.981389781418123","21.129023612942664","21356806","16926777","26.17172188184437","-"
"1110912","11108","2369","菱生","半導體業","453201","490820","713962","-7.664520598182633","-36.52309226541469","4355640","5118255","-14.899902408144964","-"
"1110912","11108","2373","震旦行","其他電子業","1173846","1253904","1078680","-6.384699307123991","8.822449660696407","8181140","8864155","-7.705359394099043","-"
"1110912","11108","2374","佳能","光電業","496358","461480","414252","7.557857328594955","19.82030261773027","3469582","2027591","71.11843562138517","2021年因當時缺料，致使去年累計營收較今年減少。"
"1110912","11108","2375","凱美","電子零組件業","497713","528019","732197","-5.739566189853017","-32.024714660125625","4112361","5312542","-22.591463747486607","-"
"1110912","11108","2376","技嘉","電腦及週邊設備業","7896900","7435303","10335417","6.208180083582337","-23.59379403849888","70595970","78707301","-10.305690700790262","-"
"1110912","11108","2377","微星","電腦及週邊設備業","12564059","13011506","18478966","-3.438856347604958","-32.00886348294596","126630210","127330807","-0.5502179845604842","-"
"1110912","11108","2379","瑞昱","半導體業","10398019","9790003","9626664","6.210580323621964","8.012692662795752","80443677","68369632","17.659953179212664","無"
"1110912","11108","2380","虹光","電腦及週邊設備業","259548","210220","205631","23.46494148986776","26.220268344753467","1827217","1999324","-8.608259591742009","-"
"1110912","11108","2382","廣達","電腦及週邊設備業","131869030","129459679","84717518","1.8610821675218274","55.65733405929102","833577326","708705407","17.619721504396537","與去年同期相較，本期由於產品組合差異，高單價產品出貨比重顯著提升，使月營收年增幅度逾5成，並續創史上新高。"
"1110912","11108","2383","台光電","電子零組件業","3233476","3295478","3682303","-1.8814266094326833","-12.188757959353154","26430969","24799549","6.578426083474341","-"
"1110912","11108","2385","群光","電子零組件業","10261684","10302508","8599800","-0.3962530288741343","19.324681969348124","78049042","67924710","14.905226684074176","-"
"1110912","11108","2387","精元","電腦及週邊設備業","2558851","2552948","2002626","0.23122288428906504","27.774781711612654","16109900","15457322","4.22180504488423","-"
"1110912","11108","2388","威盛","半導體業","983557","585607","581592","67.95513031777284","69.1146026767906","6065121","4413123","37.43376289308048","出貨增加"
"1110912","11108","2390","云辰","其他電子業","44727","43708","47080","2.331380982886428","-4.997875955819881","367957","391010","-5.89575714176108","-"
"1110912","11108","2392","正崴","電子零組件業","8025226","7721549","6711913","3.932850779034103","19.566895458865453","55390423","50175417","10.393547900159954","-"
"1110912","11108","2393","億光","光電業","1562931","1638776","2242825","-4.628149301673933","-30.31417966181044","13831757","17036335","-18.810254670385387","-"
"1110912","11108","2395","研華","電腦及週邊設備業","6236122","5968194","5151975","4.489264256490322","21.043328044099592","45148327","37387518","20.75775396483928","-"
"1110912","11108","2397","友通","電腦及週邊設備業","1294073","1454871","1202274","-11.052388837223369","7.635447493666169","10471936","7701844","35.96660747737815","-"
"1110912","11108","2402","毅嘉","電子零組件業","701975","600851","545468","16.83012926665679","28.6922422580243","4739541","4362615","8.63990977888262","-"
"1110912","11108","2405","輔信","電腦及週邊設備業","118183","145978","141691","-19.04054035539602","-16.591032599106505","1182601","1128074","4.833636800422667","-"
"1110912","11108","2408","南亞科","半導體業","3419118","4396393","8209899","-22.229018197417748","-58.353714217434344","45792508","56528449","-18.992102542916047","111年8月價格及量較110年8月減少"
"1110912","11108","2409","友達","光電業","16021445","17431035","32710136","-8.086668404945547","-51.01993767314205","177864784","244651887","-27.298830112845195","本期營收較去年同期減少主要係市場價格下跌及出貨量減少所致。"
"1110912","11108","2413","環科","電子零組件業","442168","411995","329603","7.3236325683564125","34.15169158047712","2981651","2769386","7.664695351243922","-"
"1110912","11108","2414","精技","電子通路業","2361914","2375085","2332739","-0.554548574051034","1.250675707826722","16280187","15721879","3.5511531414279425","-"
"1110912","11108","2415","錩新","電子零組件業","170344","179800","80630","-5.259176863181312","111.26627806027533","1700615","1674602","1.553384027966048","去年同期因受越南疫情影響營收減少"
"1110912","11108","2417","圓剛","電腦及週邊設備業","284791","374541","386044","-23.962663633620885","-26.228357389313135","2751477","3356395","-18.022848919748718","-"
"1110912","11108","2419","仲琦","通信網路業","1018128","937781","738459","8.567778617822285","37.8719739349104","7436042","6627979","12.191695236210013","-"
"1110912","11108","2421","建準","電子零組件業","1098401","1209716","1265784","-9.20174652563081","-13.22366217300898","8914492","8724377","2.1791240795761118","-"
"1110912","11108","2423","固緯","其他電子業","237725","225319","258115","5.5059715336922315","-7.8995796447319995","1835105","1675289","9.53960779304347","-"
"1110912","11108","2424","隴華","電腦及週邊設備業","2429","7629","2412","-68.16096473980862","0.7048092868988391","46670","12855","263.0493971217425","本年增加因本年銷售監控系統軟硬體，去年同期無銷售監控系統軟硬體。"
"1110912","11108","2425","承啟","電腦及週邊設備業","537114","478478","572013","12.254690915778783","-6.101085115198431","4093667","3885848","5.348099050709138","-"
"1110912","11108","2427","三商電","資訊服務業","256713","254536","219788","0.8552817676085112","16.80028027007844","2429180","1970297","23.290042059648876","-"
"1110912","11108","2428","興勤","電子零組件業","645334","598600","620597","7.807216839291681","3.9860005768638906","4942589","4988298","-0.9163245660142999","-"
"1110912","11108","2429","銘旺科","光電業","39483","40687","63744","-2.959176149630103","-38.06005271084337","365584","695034","-47.40055882158283","-"
"1110912","11108","2430","燦坤","電子通路業","1758229","1991245","1708900","-11.702025617139027","2.8865937152554273","15441554","15133124","2.0381118928253015","-"
"1110912","11108","2431","聯昌","電子零組件業","91302","120867","113768","-24.46077093003053","-19.74720483791576","733478","1084449","-32.36399314306159","-"
"1110912","11108","2433","互盛電","其他電子業","258754","271760","310923","-4.785840447453635","-16.778752295584436","2153328","2601234","-17.21898145264901","-"
"1110912","11108","2434","統懋","半導體業","7716","7060","14297","9.291784702549576","-46.0306357977198","63250","101413","-37.631270152741756","-"
"1110912","11108","2436","偉詮電","半導體業","194038","192134","318460","0.9909750486639533","-39.069898888400424","1997184","2314783","-13.7204653740761","-"
"1110912","11108","2438","翔耀","光電業","11792","16004","34062","-26.318420394901274","-65.38077623157771","151039","258616","-41.5971942957899","客戶需求減緩致使營收下滑"
"1110912","11108","2439","美律","通信網路業","3716353","3290225","2542511","12.951333115516416","46.16861047995466","21039490","20926816","0.538419222494239","-"
"1110912","11108","2440","太空梭","電子零組件業","228254","207441","324698","10.033214263332706","-29.70267756499886","2164298","2921766","-25.925005630156555","-"
"1110912","11108","2441","超豐","半導體業","1237752","1262225","1811532","-1.9388777753570086","-31.67374354965852","11903280","12596480","-5.50312468245097","-"
"1110912","11108","2442","新美齊","電腦及週邊設備業","9811","9867","100321","-0.5675483936353501","-90.22039253994677","505439","1250294","-59.57438810391796","本年累計營收較去年同期減少，主係去年營建專案交屋認列收入較高所致。"
"1110912","11108","2444","兆勁","通信網路業","150337","113399","154346","32.573479483946066","-2.5974110116232363","1084390","1125192","-3.6262255686140676","-"
"1110912","11108","2449","京元電子","半導體業","2891833","3196133","3044565","-9.520880388894955","-5.0165458776541145","25000064","21229933","17.75856287440945","-"
"1110912","11108","2450","神腦","通信網路業","2512334","2393763","2384301","4.953330801754393","5.369833758405504","19948065","18911056","5.483612337671677","-"
"1110912","11108","2451","創見","半導體業","1003703","1024394","1141520","-2.019828308248584","-12.073113042259443","8484221","9754903","-13.02608544646728","-"
"1110912","11108","2453","凌群","資訊服務業","446950","421165","436411","6.122303610224021","2.414925379974382","3362884","3304559","1.7649858876782045","-"
"1110912","11108","2454","聯發科","半導體業","44699654","40890418","42808189","9.315717926874703","4.418465354841336","384030742","316854387","21.201017803802728","海外子公司之營收係以當月平均匯率換算之。"
"1110912","11108","2455","全新","通信網路業","173020","190831","315199","-9.333389229213283","-45.10769386958715","1939324","2390948","-18.888909336380383","-"
