SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
新港,嘉義縣,24,,良好,1.8,,0.1,24,26,15,2,2.5,3.7,1.2,2.5,241,2020-06-17 18:00,4,19,1,120.345531,23.554839,39
朴子,嘉義縣,19,,良好,2.1,0.24,0.2,18,21,8,ND,6.1,9.3,3.2,2.1,269,2020-06-17 18:00,2,9,2,120.24781,23.467123,40
臺西,雲林縣,23,,良好,1.6,0.13,0.1,24,25,7,4,4.1,5.3,1.2,4.1,240,2020-06-17 18:00,4,7,2,120.202842,23.717533,41
嘉義,嘉義市,28,,良好,0.9,0.15,0.1,21,30,9,ND,5.8,8.1,2.4,2.7,238,2020-06-17 18:00,2,10,1,120.440833,23.462778,42
新營,臺南市,24,,良好,2,0.16,0.1,20,26,7,ND,5,7,2,1.5,258,2020-06-17 18:00,3,7,2,120.31725,23.305633,43
善化,臺南市,26,,良好,1.6,0.12,0.1,20,28,10,3,6.4,8.1,1.7,1.2,295,2020-06-17 18:00,3,9,2,120.297142,23.115097,44
安南,臺南市,23,,良好,0.8,0.14,0.1,23,25,11,2,3.3,5.5,2.1,2.8,301,2020-06-17 18:00,3,21,1,120.2175,23.048197,45
臺南,臺南市,21,,良好,1.6,0.19,0.1,21,23,5,ND,2.7,4.7,2.1,2.4,261,2020-06-17 18:00,2,7,2,120.202617,22.984581,46
美濃,高雄市,40,,良好,1.2,0.13,0.1,30,43,11,6,3.6,4.1,0.5,1.4,284,2020-06-17 18:00,8,14,1,120.530542,22.883583,47
橋頭,高雄市,22,,良好,1.3,0.16,0.1,20,24,11,ND,4.1,7,2.9,2.7,287,2020-06-17 18:00,3,15,2,120.305689,22.757506,48
仁武,高雄市,23,,良好,1.7,0.14,0.1,20,25,8,ND,5.1,8.2,3.1,2.9,293,2020-06-17 18:00,4,8,2,120.332631,22.689056,49
鳳山,高雄市,25,,良好,1.1,0.36,0.3,19,27,8,ND,6.3,8.7,2.4,2.4,301,2020-06-17 18:00,1,7,1,120.358083,22.627392,50
大寮,高雄市,28,,良好,0.7,0.19,0.1,22,30,11,5,6.5,9.7,3.2,1.7,321,2020-06-17 18:00,6,15,1,120.425081,22.565747,51
林園,高雄市,24,,良好,1.9,0.1,0.1,24,26,14,5,3.1,3.4,0.3,3.1,280,2020-06-17 18:00,6,11,3,120.41175,22.4795,52
楠梓,高雄市,23,,良好,1.8,0.24,0.1,19,25,11,ND,5.6,8,2.4,3.2,297,2020-06-17 18:00,3,12,2,120.328289,22.733667,53
左營,高雄市,23,,良好,2,0.11,0.1,22,25,7,ND,2.4,4,1.6,3.2,305,2020-06-17 18:00,2,5,2,120.292917,22.674861,54
前金,高雄市,25,,良好,2.2,0.11,0.1,23,27,7,3,2.5,3.9,1.4,2.8,278,2020-06-17 18:00,4,6,2,120.288086,22.632567,56
前鎮,高雄市,21,,良好,1.7,0.3,0.2,18,23,8,ND,8.1,11,2.5,2,13,2020-06-17 18:00,1,7,2,120.307564,22.605386,57
小港,高雄市,22,,良好,1.5,0.15,0.1,18,24,11,ND,7.4,13,5.6,3.6,287,2020-06-17 18:00,2,11,1,120.337736,22.565833,58
